date;state;confirmed;deaths
2020-04-20;Paraná;1;1
2020-04-20;Paraná;3;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;94;7
2020-04-20;Paraná;3;0
2020-04-20;Paraná;1;1
2020-04-20;Paraná;2;0
2020-04-20;Paraná;41;5
2020-04-20;Paraná;2;0
2020-04-20;Paraná;2;0
2020-04-20;Paraná;2;0
2020-04-20;Paraná;4;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;0;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;2;0
2020-04-20;Paraná;4;0
2020-04-20;Paraná;11;2
2020-04-20;Paraná;12;2
2020-04-20;Paraná;14;1
2020-04-20;Paraná;2;0
2020-04-20;Paraná;18;1
2020-04-20;Paraná;1;0
2020-04-20;Paraná;1;0
